Task Name,List,Assignee,Priority,Status,Description
Clean product CSV,1. Products in the Shop,Oli,Urgent,To Do,"Source: Products.xlsx (9767 SKUs). ~1000 rows have CSV parsing artefacts where names contain commas. Output clean: ean,name,regulation,price,vat."
Auto-classify products into shop categories,1. Products in the Shop,Oli,Urgent,To Do,"AI pass over names into: Skincare, Hair Care, Oral Care, Beauty, Vitamins, Pain Relief, Cold & Flu, Digestive, First Aid, Weight Management, Men's Health, Women's Health, Sexual Wellness. Spot-check."
Fetch product images by barcode,1. Products in the Shop,Oli,High,To Do,"Open Food Facts / Open Beauty Facts API, EAN-keyed. ~60-70% auto-resolve. Flag remainder for AI/manual."
Generate factual product descriptions,1. Products in the Shop,Oli,High,To Do,"AI-generate short factual copy only (size/format/brand). NO medical claims (MHRA/CAP). Murtaza signs off 50-product sample before bulk."
Staged catalogue import,1. Products in the Shop,Oli,Urgent,To Do,"Import 100-product sample for sign-off, then bulk 9667. Stock = 0 on import (Murtaza activates manually)."
Update eligibility product map for GLP-1 SKUs,1. Products in the Shop,Oli,High,To Do,"After import, map the new Wegovy/Mounjaro/Saxenda/Mysimba product IDs in Eligibility > Settings."
Stripe gateway live,2. Can Take Money,Oli,Urgent,To Do,"Install Stripe for WooCommerce, plug live keys, disable Cash on Delivery, confirm 3D Secure UK cards. Needs Murtaza's keys."
Switch Stripe to manual capture,2. Can Take Money,Oli,Urgent,To Do,"Config change: tick 'Issue authorization on checkout and capture later'. Holds payment until pharmacist approves. NOT a build."
UK VAT zones,2. Can Take Money,Oli,High,To Do,"WC > Settings > Tax. UK zone; OTC zero-rated where applicable; POM exempt. Needs Murtaza accountant confirmation."
UK shipping zones,2. Can Take Money,Oli,High,To Do,"Royal Mail Tracked 24 under £30; free over £30. Needs carrier confirmation from Murtaza."
Build P-med consultation form (editable base questions),3. Consultation & Pharmacist Review,Oli,Urgent,To Do,"Single standard form, 9 questions: DOB, who for, what for, what tried, other meds incl OTC, other conditions, pregnant/breastfeeding, previous use, free-text. Questions editable in admin (not hardcoded)."
Per-product custom questions,3. Consultation & Pharmacist Review,Oli,Urgent,To Do,"ACF repeater on each WC product: 'Additional consultation questions'. Murtaza adds product-specific questions himself when launching a product. Form renders base + extras + disclaimer."
Pharmacist disclaimer at end of form,3. Consultation & Pharmacist Review,Oli,Normal,To Do,"'Your answers will be reviewed by a pharmacist who may contact you with further questions before dispatch.'"
Awaiting Clinical Review order status,3. Consultation & Pharmacist Review,Oli,High,To Do,"Custom WC order status + admin colour + customer email trigger."
Clinician review panel,3. Consultation & Pharmacist Review,Oli,High,To Do,"Readable metabox on WC order edit screen showing all consultation answers. Print-friendly."
Pharmacist approve/reject + Stripe capture/void,3. Consultation & Pharmacist Review,Oli,Urgent,To Do,"Approve -> Stripe captures held payment -> order to Processing. Reject -> Stripe voids auth -> customer notified, no charge. Reused for GLP-1 (Phase 1) and P-meds (Phase 2)."
Customer consultation-status view,3. Consultation & Pharmacist Review,Oli,Normal,To Do,"My Account view: pending / approved / rejected with timestamps. Reduces support load."
ID upload step,3. Consultation & Pharmacist Review,Oli,High,To Do,"New screen in consultation: photo ID, encrypted storage, linked to order. For POM/P dispense compliance."
Branded transactional emails,4. Launch Phase 1,Oli,High,To Do,"Order confirmation, dispatch, consultation pending/approved. Brand template + logo."
