ID,Category,Task,Description,Owner,Status,Priority,Dependencies,Notes
D01,Done,Shop archive brand pass,"Hero, bestsellers carousel, category tiles, filter sidebar, pagination",Drew,Done,High,,Stage 4d shipped
D02,Done,Branded PDP,Single product page with gallery + tabbed content + brand styling,Drew,Done,High,,Stage 4a-3 shipped
D03,Done,Cart / Checkout / My Account brand pass,Branded all WC pages including page-header treatment,Drew,Done,High,,Stage 4a-4 shipped
D04,Done,Branded empty basket,"Branded panel with CTAs replacing WC default sad-face state",Drew,Done,Medium,,
D05,Done,Filter sidebar (hardcoded),"Category, price, rating, availability filters with shareable URLs",Drew,Done,High,,Stage 4b-revisit shipped
D06,Done,POM gating,Prescription products auto-route to consultation,Drew,Done,Critical,,Stage 4c shipped
D07,Done,Eligibility checker plugin v0.3.2,"Full clinical funnel + WC checkout handoff + assessment data stamped onto orders",Drew,Done,Critical,,smart-pharmacy-eligibility/
D08,Done,Live WC pricing on treatment cards,Eligibility plugin pulls title + price from configured WC products,Drew,Done,Medium,,
D09,Done,Start Consultation CTA wired to checker,One-click from product card to consultation form,Drew,Done,High,,Saves 2 clicks in funnel
D10,Done,Men's Health treatment landing page,Auto-seeded on first deploy,Drew,Done,Medium,,inc/seeders/mens-health.php
D11,Done,Women's Health treatment landing page,Auto-seeded on first deploy,Drew,Done,Medium,,inc/seeders/womens-health.php
D12,Done,Category thumbnail auto-fallback,"Tile pulls product image when no custom thumbnail set",Drew,Done,Medium,Requires products to have featured images,Pays off after catalogue migration
D13,Done,Logo on eligibility checker header,Pulls WP Customizer custom logo,Drew,Done,Low,,Falls back to site title if no logo
D14,Done,Plugin admin: product map + checker URL settings,Maps (treatment+dose) to WC product ID,Drew,Done,High,,WP Admin > Eligibility > Settings
D15,Done,Hotfix: POM gating handshake with plugin,Eligibility-completed customers can now buy POM products,Drew,Done,Critical,,Commit ee6c8a6
D16,Done,Hotfix: SPE_Admin method_exists guard,Defensive guard prevents fatal when theme runs ahead of plugin,Drew,Done,Critical,,Commit ee6c8a6
D17,Done,Header menu URL fix,Men's / Women's Health links no longer dead-end,Drew,Done,Medium,,
S101,Sprint 1,Stripe gateway live,"Install Stripe for WooCommerce, plug live API keys, disable Cash on Delivery, confirm 3D Secure for UK cards",Oli,Not Started,Critical,Murtaza: Stripe API keys,Cannot take real payments until done
S102,Sprint 1,UK VAT configured,"WC > Settings > Tax; UK zone; OTC zero-rated where applicable; POM exempt",Oli,Not Started,High,Murtaza: confirm rates with accountant,
S103,Sprint 1,UK shipping zones,"Royal Mail Tracked 24 under £30; DPD next-day free over £30",Oli,Not Started,High,Murtaza: confirm carrier accounts,
S104,Sprint 1,Clinician order panel,"Readable metabox on WC order edit screen showing all _tc_elig_* assessment data; print-friendly view",Oli,Not Started,High,,Read-only first pass
S105,Sprint 1,ID upload page in eligibility checker,"New screen between GP details and treatment selection; encrypted storage; linked to assessment + order; 5-year retention",Oli,Not Started,High,,GPhC compliance for POM dispense
S201,Sprint 2,Product catalogue migration,Working session with client to swap 10 test SKUs for real product range + photography,Oli + Murtaza,Not Started,Critical,Murtaza: real product catalogue + photography,Schedule working call
S202,Sprint 2,Branded transactional emails,"Order confirmation, dispatch notification, consultation pending/approved",Oli,Not Started,High,,Brand template (teal/cream + logo)
S203,Sprint 2,Hair Loss treatment seeder,Same pattern as Men's/Women's Health seeders,Oli,Not Started,Medium,,
S204,Sprint 2,ED treatment seeder,Same pattern,Oli,Not Started,Medium,,
S205,Sprint 2,Production deploy + DNS cutover,"Push to production; smoke tests; DNS swap; Kinsta backups + monitoring",Oli + Drew,Not Started,Critical,All Sprint 1 + 2 done; Murtaza sign-off,Drew presses the button
S206,Sprint 2,Post-launch hotfix buffer,Bugfix from smoke tests; 24h hotfix window for first day of live traffic,Oli,Not Started,High,Production deploy complete,
C01,Client,Provide Stripe API keys (test + live),Stripe account ready; share test keys first then live,Murtaza,Not Started,Critical,Stripe account approval,Blocks S101
C02,Client,Confirm UK VAT rates with accountant,"Which SKUs are zero-rated vs standard rate vs exempt",Murtaza,Not Started,High,,Blocks S102
C03,Client,Confirm carrier accounts (Royal Mail / DPD),Account numbers and rates,Murtaza,Not Started,High,,Blocks S103
C04,Client,Supply real product catalogue + photography,"Full SKU list with names, prices, descriptions, categories, licensed product photos",Murtaza,Not Started,Critical,,Blocks S201; consider photographer engagement
